Country,Other_names,ISO_3166-1_alpha-3_CODE,Population,Continent,Total_Cases,Total_Deaths,Tot Cases_1M_pop,Tot Deaths/1M_pop,Death_percentage,Cases_Per_100K,Deaths_Per_100K,Recovery_Rate,Case_Fatality_Rate,Cluster
Afghanistan,Afghanistan,AFG,40462186,Asia,177827,7671,4395,190,4.313743132,439.4893543319681,18.95844183999352,95.686256868,4.313743132370225,0
Albania,Albania,ALB,2872296,Europe,273870,3492,95349,1216,1.275057509,9534.880806156469,121.57521369663851,98.724942491,1.2750575090371343,0
Algeria,Algeria,DZA,45236699,Africa,265691,6874,5873,152,2.587215976,587.3350750018254,15.195626895764432,97.412784024,2.5872159764538503,0
Andorra,Andorra,AND,77481,Europe,40024,153,516565,1975,0.382270638,51656.53515055304,197.46776629109073,99.617729362,0.3822706376174295,1
Angola,Angola,AGO,34654212,Africa,99194,1900,2862,55,1.915438434,286.2393754617765,5.482739010195933,98.084561566,1.9154384337762362,0
Anguilla,Anguilla,AIA,15237,Latin America and the Caribbean,2700,9,177200,591,0.333333333,17720.02362669817,59.06674542232723,99.666666667,0.33333333333333337,0
Antigua and Barbuda,Antigua and Barbuda,ATG,99348,Latin America and the Caribbean,7493,135,75422,1359,1.801681569,7542.1749808753075,135.88597656721825,98.198318431,1.8016815694648338,0
Argentina,Argentina,ARG,45921761,Latin America and the Caribbean,9041124,128065,196881,2789,1.416472111,19688.103859954324,278.8765004024998,98.583527889,1.4164721112109513,2
Armenia,Armenia,ARM,2972939,Asia,422574,8617,142140,2898,2.039169471,14214.01515470045,289.84785762506397,97.960830529,2.039169470909237,2
Aruba,Aruba,ABW,107560,Latin America and the Caribbean,34051,212,316577,1971,0.622595518,31657.679434734106,197.09929341762736,99.377404482,0.6225955184869754,1
Australia,Australia,AUS,26017767,Oceania,4680816,6384,179908,245,0.136386476,17990.84448715372,24.537078835397363,99.863613524,0.13638647620414904,0
Austria,Austria,AUT,9096360,Europe,3887355,15985,427353,1757,0.411205048,42735.28092555703,175.7296325123456,99.588794952,0.4112050481625681,1
Azerbaijan,Azerbaijan,AZE,10299156,Asia,792061,9697,76905,942,1.224274393,7690.542797875864,94.15334615768515,98.775725607,1.2242743930076092,0
Bahamas,Bahamas,BHM,399822,Latin America and the Caribbean,33295,788,83275,1971,2.36672173,8327.455717794419,197.08770402829262,97.63327827,2.366721729989488,2
Bahrain,Bahrain,BHR,1804995,Asia,556241,1471,308168,815,0.264453717,30816.76126526666,81.49607062623441,99.735546283,0.2644537170039605,1
Bangladesh,Bangladesh,BGD,167561502,Asia,1951770,29122,11648,174,1.492081546,1164.8081311660717,17.379887177187037,98.507918454,1.4920815464936954,0
Barbados,Barbados,BRB,287991,Latin America and the Caribbean,59938,375,208125,1302,0.625646501,20812.45594480383,130.21240247091055,99.374353499,0.6256465013847643,1
Belarus,Belarus,BLR,9443882,Europe,965322,6844,102217,725,0.708986224,10221.665200814665,72.47019816638962,99.291013776,0.7089862242857824,0
Belgium,Belgium,BEL,11677924,Europe,3851048,30826,329772,2640,0.800457434,32977.16272173033,263.96815050346277,99.199542566,0.8004574339244798,1
Belize,Belize,BLZ,410260,Latin America and the Caribbean,57289,656,139641,1599,1.14507148,13964.071564373811,159.89860088724222,98.85492852,1.1450714796906911,0
Benin,Benin,BEN,12678649,Africa,26952,163,2126,13,0.604778866,212.5778543123956,1.2856259369590561,99.395221134,0.6047788661323835,0
Bermuda,Bermuda,BMU,61875,Northern America,12564,128,203055,2069,1.018783827,20305.454545454548,206.86868686868686,98.981216173,1.0187838268067495,1
Bhutan,Bhutan,BTN,786480,Asia,31437,12,39972,15,0.038171581,3997.177296307598,1.5257857796765335,99.961828419,0.038171581257753606,0
Bolivia,Bolivia (Plurinational State of),BOL,11951714,Latin America and the Caribbean,902448,21896,75508,1832,2.426289382,7550.783092701181,183.2038484187289,97.573710618,2.426289381770473,2
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,3245097,Europe,375693,15719,115773,4844,4.184001299,11577.25023319796,484.39230013771544,95.815998701,4.184001298932905,2
Botswana,Botswana,BWA,2434708,Africa,305526,2686,125488,1103,0.879139582,12548.773815997647,110.32123770078383,99.120860418,0.879139582228681,0
Brazil,Brazil,BRA,215204501,Latin America and the Caribbean,29999816,660269,139401,3068,2.200910166,13940.143380179581,306.81003275112727,97.799089834,2.200910165582349,2
British Virgin Islands,British Virgin Islands,VGB,30583,Latin America and the Caribbean,6155,62,201256,2027,1.007311129,20125.5599516071,202.72700519896676,98.992688871,1.007311129163282,1
Brunei ,Brunei Darussalam,BRN,444812,Asia,135974,213,305689,479,0.156647594,30568.86954488638,47.8853987752129,99.843352406,0.15664759439304574,1
Bulgaria,Bulgaria,BGR,6856886,Europe,1140679,36568,166355,5333,3.205809873,16635.52522238229,533.3033099864865,96.794190127,3.205809872891497,2
Burkina Faso,Burkina Faso,BFA,21905848,Africa,20853,382,952,17,1.831870714,95.19375830600121,1.7438265800073112,98.168129286,1.8318707140459407,0
Burundi,Burundi,BDI,12510155,Africa,38519,38,3079,3,0.098652613,307.90186052850663,0.3037532308752369,99.901347387,0.0986526129961837,0
Cabo Verde,Cabo Verde,CPV,566557,Africa,55960,401,98772,708,0.716583274,9877.205647445888,70.77840358516443,99.283416726,0.7165832737669764,0
Cambodia,Cambodia,KHM,17123941,Asia,135747,3054,7927,178,2.249773476,792.7322337772595,17.834679528503397,97.750226524,2.2497734756569203,0
Cameroon,Cameroon,CMR,27701805,Africa,119544,1927,4315,70,1.611958777,431.538666884703,6.956225415636274,98.388041223,1.6119587766847354,0
Canada,Canada,CAN,38321435,Northern America,3499226,37690,91312,984,1.077095335,9131.249912744655,98.35226681881824,98.922904665,1.077095334796895,0
CAR,Central African Republic,CAF,4976719,Africa,14649,113,2944,23,0.771383712,294.3505550544445,2.270572238456702,99.228616288,0.7713837121987849,0
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",BES,26650,Latin America and the Caribbean,8574,33,321726,1238,0.384884535,32172.60787992495,123.82739212007505,99.615115465,0.3848845346396081,1
Cayman Islands,Cayman Islands,CYM,67073,Latin America and the Caribbean,20606,24,307218,358,0.116470931,30721.75092809327,35.78190926304176,99.883529069,0.11647093079685529,1
Chad,Chad,TCD,17250246,Africa,7308,191,424,11,2.613574165,42.364613235080824,1.107230586740618,97.386425835,2.6135741652983033,0
Channel Islands,Guernsey,GGY,176668,Europe,69036,156,390767,883,0.22596906,39076.686213688954,88.30122036814817,99.77403094,0.22596905962106728,1
Chile,Chile,CHL,19403451,Latin America and the Caribbean,3486653,56750,179692,2925,1.627635443,17969.241657063994,292.4737460362077,98.372364557,1.6276354429305127,2
China,China,CHN,1439323776,Asia,154738,4638,108,3,2.99732451,10.750742993354125,0.32223465472719326,97.00267549,2.9973245098165933,0
Colombia,Colombia,COL,51832231,Latin America and the Caribbean,6085926,139660,117416,2694,2.294802796,11741.586041318576,269.4462447506842,97.705197204,2.2948027958276196,2
Comoros,Comoros,COM,902011,Africa,8093,160,8972,177,1.977017175,897.2174396986288,17.73814288295819,98.022982825,1.9770171753367107,0
Congo,Congo,COG,5755689,Africa,24071,385,4182,67,1.599435005,418.21231133231834,6.689034101738297,98.400564995,1.599435004777533,0
Cook Islands,Cook Islands,COK,17592,Oceania,2118,0,120396,0,0.0,12039.56343792633,0.0,100.0,0.0,0
Costa Rica,Costa Rica,CRI,5175547,Latin America and the Caribbean,839368,8308,162180,1605,0.98979232,16217.957251668277,160.52409532750838,99.01020768,0.9897923199359517,1
Croatia,Croatia,HRV,4060951,Europe,1102730,15601,271545,3842,1.414761546,27154.476870073046,384.1710968686891,98.585238454,1.4147615463440735,2
Cuba,Cuba,CUB,11314513,Latin America and the Caribbean,1092547,8514,96562,752,0.779279976,9656.155770911218,75.24848837948217,99.220720024,0.77927997605595,0
CuraÃ§ao,CuraÃ§ao,CUW,165268,Latin America and the Caribbean,40671,267,246091,1616,0.656487423,24609.119732797637,161.55577607280298,99.343512577,0.6564874234712694,1
Cyprus,Cyprus,CYP,1222745,Asia,439964,947,359817,774,0.215244884,35981.66420635537,77.4486912643274,99.784755116,0.21524488367230046,1
Czechia,Czech Republic,CZE,10743762,Europe,3830631,39720,356545,3697,1.036904886,35654.4662847148,369.7029029496372,98.963095114,1.0369048859052203,2
Denmark,Denmark,DNK,5827911,Europe,2919428,5762,500939,989,0.19736743,50093.90157124911,98.8690458725262,99.80263257,0.1973674295101643,1
